id	Country	1	1000	1500	1600	1700	1820	1870	1913	1950	1973	2001
AUT	Austria			707	837	993	1218	1863	3465	3706	11235	20225	
BEL	Belgium			875	976	1144	1319	2692	4220	5462	12170	20924	
DNK	Denmark			738	875	1039	1274	2003	3912	6943	13945	23160	
FIN	Finland			453	538	638	781	1140	2111	4253	11085	20344	
FRA	France			727	841	910	1135	1876	3485	5271	13114	21092	
DEU	Germany			688	791	910	1077	1839	3648	3881	11966	18677	
ITA	Italy			1100	1100	1100	1117	1499	2564	3502	10634	19040	
NLD	Netherlands			761	1381	2130	1838	2757	4049	5996	13082	21722	
NOR	Norway			640	760	900	1104	1432	2501	5463	11246	24580	
SWE	Sweden			695	824	977	1198	1662	3096	6739	13493	20562
CHE	Switzerland			632	750	890	1090	2102	4266	9064	18204	22264
GBR	Engand			714	974	1250	1706	3190	4921	6939	12025	20127
	Average_12_Country			798	908	1033	1245	2088	3688	5018	12156	20024
PRT	Portugal			606	740	819	923	975	1250	2086	7063	14229
ESP	Spain			661	853	853	1008	1207	2056	2189	7661	15659
	Other			472	525	584	711	1027	1840	2538	7614	15989
	Average_West_European	450	400	771	890	998	1204	1960	3458	4579	11416	19256
	Eastern_Europe	400	400	496	548	606	683	937	1695	2111	4988	6027
RUS	Russia	400	400	499	552	610	688	943	1488	2841	6059	4626
USA	United	States			400	400	527	1257	2445	5301	9561	16689	27948
	Other_Western_Offshoots			400	400	408	761	2245	4752	7425	13399	21718
	Average_Western_Offshoots	400	400	400	400	476	1202	2419	5233	9268	16179	26943
MEX	Mexico			425	454	568	759	674	1732	2365	4845	7089
	Other_Latin_America			410	431	502	663	683	1424	2536	4426	5508
	Average_Latin_American	400	400	416	438	527	692	681	1481	2506	4504	5811
JPN	Japan	400	425	500	520	570	669	737	1387	1921	11434	20683
CHN	China	450	450	600	600	600	600	530	552	439	839	3583
IND	India	450	450	550	550	550	533	533	673	619	853	1957
	Other_Asia	450	450	565	565	565	584	643	882	926	2049	3998
	Average_Asian_(excluding_Japan)	450	450	572	575	571	577	550	658	634	1226	3256
	Africa	430	425	414	422	421	420	500	637	894	1410	1489
	Average_World	445	436	566	595	615	667	875	1525	2111	4091	6049